generic_id,created_at,complaint_status_id,voteup_count,city_id,ward_id,category_id,sub_category_id,civic_agency_id,title,description,location
W046012769,"17th Main road in ashok narar. This road needs urgent attention.",1,13,3,230,NULL,66,"","12/9/14 12:57","Bad stretch of road with pot holes and not tarred for years in ashok narar.","Autopsy Road, Unit 6, Ganga Nagar, Bhubaneshwar, Odisha 751025, India"
W08012773,"Here in our place the garbage collector is not coming, its been more than a week they had collected the garbage. Due to decomposition bad smell is coming.",1,12,3,268,NULL,155,"","12/9/14 14:01","Garbage not collected from here in time","Niladri Vihar Road, Housing Board Colony, Chandrasekharpur, Bhubaneshwar, Odisha 751016, India"
W019012774,"The private buses and lorries are using louder horns for which we are facing problem in our area. Please do something to control this. Mainly the children are having issue for this and they are unable to complete their study. Please help us to solve the problem.",1,12,3,236,NULL,46,"","12/9/14 14:15","Noise pollution due to heavy traffic","National Highway 5, Rasulgarh, Bhubaneshwar, Odisha 751007, India"
W025012776,"This is to bring to your kind notice about stray dog menace in nayapalli main road, there are number of dogs becoming nuisance day by day, i have already witnessed one biker had a bad fall in the night when these bunch of dogs that keep Howling & Barking and running across the road and when one of this dog came under the wheel of the biker in the middle of the road and he had a bad fall hurting himself badly. these dogs are increasing a lot these days in this locality and one can always find these dogs barking and biting other dogs and chasing people unnecessarily while riding even if it around 7 - 8 pm in the night.\n\nIt\'s becoming very difficult to even sleep in the night because of these dogs barking as if it has not another day to live.\n\nYou can also see these stray dogs attacking pets when their owners take them out for a walk.\n\nI request the concerned authorities to quickly look into this matter ASAP before any untoward incident happens to residents",1,10,3,209,NULL,77,"","12/9/14 14:22","Dog Menace @ Coffee Board Layout Main Road","N1 207, CRP Ekamra Kanana Road, N1, Block N1, IRC Village, Nayapalli, Bhubaneshwar, Odisha 751015, India"
W07012777,"Two potholes in the middle of the road which serves as a main road in residential area of Damana Chowk is often filled with water from rains and otherwise is causing huge inconvenience to both residents as well as commuters using the road.\n\nResidents took measures to fill the potholes with cement mixture but it does not stay for more than one week. \n\nCan you please patch up the potholes at the earliest?",1,12,3,213,NULL,66,"","12/9/14 14:31","Pothole In Middle Of Road","16, Sailashree Vihar Road, Sailashree Vihar, Chandrasekharpur, Bhubaneshwar, Odisha 751016, India"
W027012778,"Street light pole years together laying on the ground spare rcc pole in acharya vihar area so many places years together laying on the ground where ever places.",3,5,3,215,4,33,"","12/9/14 14:50","Street Light Pole Years Together Laying On The Ground Spare Rcc Pole","N/6 222, Nayapalli, Jayadev Vihar - Ekamra Kanana Road, IRC Village, Jayadev Vihar, Bhubaneshwar, Odisha 751015, India"
W028012779,"Wheels are parking on foot path and no place to walk in the main road.",1,6,3,228,NULL,84,"","12/9/14 15:07","Parking on foot path in DM School main road","DM School Road, RCE Campus, New AG Colony, Bhubaneshwar, Odisha 751022, India"
W028012780,"Worst road with hundreds of pot holes in main road of Bidyut Marg",1,6,3,228,NULL,42,"","12/9/14 15:21","Potholes on the main road","Bidyut Marg, AG Colony, Unit 4, Bhauma Nagar, Bhubaneshwar, Odisha 751022, India"
W011012781,"There are so many road cuttings near vss nagar area. The road has not been tarred since last 6 months, BMC please tar the road. Its been worst to ride bike in this road mainly during this rainy days.",1,13,3,217,NULL,67,"","12/9/14 15:26","So many road cuttings","Mancheshwar Station Road, DL Colony, Laxmi Nagar, Bhubaneshwar, Odisha 751007, India"
W025012785,"The sewage drain is blocked in IRC village area, the water is overflowing on road for which bad smell is coming. Please look into this issue asap.",1,2,3,209,NULL,73,"","12/9/14 16:57","Sewage drain blocked in IRC village area","N1 207, CRP Ekamra Kanana Road, N1, Block N1, IRC Village, Nayapalli, Bhubaneshwar, Odisha 751015, India"
W07012822,"Now the street lights in sailaishri vihar is not working. Though its on but the light is not enough to see the road also. BMC please replace them.",1,8,3,213,NULL,62,"","15-09-2014 09:15","The street light is not working.","16, Sailashree Vihar Road, Sailashree Vihar, Chandrasekharpur, Bhubaneshwar, Odisha 751016, India"
W011012865,"In Palasuni streetlight not working since last 3 months. Even after complaining in electric office they are not solving the issue.",1,8,3,251,NULL,62,"","16-09-2014 16:20","Streetlight not working","Kalinga Vision College Road, Palasuni, Rasulgarh, Bhubaneshwar, Odisha 751010, India"
W03012875,"We need a park near Kanan vihar. There is no place to spend some time, please do the needful for us.",1,10,3,253,NULL,85,"","17-09-2014 09:15","Need a park near Kanan vihar.","Interior Road, Patia, Bhubaneshwar, Odisha 751017, India"
W011012876,"The rice mill near to vss nagar market is creating air pollution due to the smoke coming from its chimney.",1,9,3,217,NULL,44,"","17-09-2014 09:21","Air pullution due to rice mill","Manik Lane, V.S.S. Nagar, Bhubaneshwar, Odisha 751007, India"
W035012902,"The stray cattle are creating problem in ekamra market. The owner of those cattle are also not taking responsibility. BMC please take action on them.",1,14,3,226,NULL,75,"","18-09-2014 09:03","Cattle creating problem in Ekamra market","Ekamra Haat, Ekamra Vihar, Bhubaneshwar, Odisha, India"
W029013037,"Near to Acharya vihar signal people are parking illegally.",1,15,3,225,NULL,84,"","23-09-2014 10:11","People are parking near signal which causes traffic jam","C-5/4, Sachivalaya Marg, OPTCL Colony, Anand Bazar, Bhoi Nagar, Bhubaneshwar, Odisha 751022, India"
W08013161,"Garbage on  the road",3,11,3,268,NULL,155,"","26-09-2014 16:32","Garbage on the road","Mangala Mandir Bus Stop, Niladri Vihar, Chandrasekharpur, Bhubaneshwar, Odisha 751021, India"
W04014150,"In my locality there is no dustbin due to this there is garbage Disposal problems .",1,10,3,250,NULL,155,"","22-10-2014 10:27",Garbage,"Naharkanta, Bhubaneshwar, Odisha, India"
W023014587,"We are paying the tax since 2008 but till now we don\'t feel that we are staying in a municipal corporation i,e BHUBANESWAR MUNCIPAL CORPORATION the state capital.We have met the corporator many times also met the mayor  but till now our road is not converted to concrete road. In rainy season we are facing a lots of trouble. Also the garbage of our locality is not collected regularly. Though we are staying in the state capital we have not felt like that.",1,10,3,274,NULL,67,"","29-10-2014 15:33","Kachha road","Ghatikia Road, Ghatikia, Bhubaneshwar, Odisha 751003, India"
W052014923,"Bhubaneswar city is the capital of our state. The road needs to be better without any potholes with street lights and with plantations on both sides of the road. The cattle & bull dogs need not be on the road. Garbage collection with better drainage facilities need to be better.",1,15,3,248,NULL,155,"","4/11/14 20:44","I want my city Bhubaneswar to be the number one city","Ekamra Marg, Unit 6, Bhubaneshwar, Odisha"
W046015928,"There are many clinics and diagnostic centers on Ekamra marg stretch. Vehicles are parked illegally on the stretch. Traffic movement is very heavy. Especially private Khordha bound buses, school & college buses  ply on this stretch in very high speed blowing high pressure horns. This cause lots of noise pollution and accidents occur very regularly. This stretch till OUAT, Siripur chaak is not lighted properly. Stray animals are seen sitting on main road. Besides all these, the main road is full of potholes. \n\nBMC, PWD and all other concerned authorities are aware of the problem, but they have no will power to do anything in spite of several reminders and personal follow ups.",3,15,3,230,NULL,84,"","4/12/14 11:29","Illegal parking of vehicles on Ekamra marg, Unit-6 stretch","Unit 6, Ganga Nagar, Bhubaneshwar, Odisha, India"
W0016501,"Good for all to understanding what is done in our city",1,33,3,228,NULL,42,"","13-12-2014 22:31","Good one",Bhubaneswar
W017016575,"Plz stop crime and robbery for a better place",3,62,3,218,2,27,"","15-12-2014 21:00",Robbery,"Vani Vihar, Bhubaneshwar, Odisha, India"
W052016680,"Garbage on the road...",4,79,3,249,NULL,155,"","17-12-2014 15:41","Garbage on the road.","43, Forest Park area (Unit-6), Ekamra Marg, Ganga Nagar, Bhubaneshwar, Odisha 751001, India"
W025016878,"Near school crossing area there should be a speed breaker...",1,42,3,209,NULL,155,"","24-12-2014 11:56","Need speed breaker on the road.","1474, National Highway 5, IRC Village, Nayapalli, Bhubaneshwar, Odisha 751015, India"
W0017342,"All house hold nearby put the garbage in front of my house. kindly do something. i have made them understand several times but response is bad",1,65,3,209,NULL,155,"","10/1/15 12:32","Garbage in front of my house","257 N3 IRC Village, Nayapalli, Bhubaneswar, Odisha"
W02470C18106,"As soon as you get onto Panathur main road, from outer road, the footpath is encroached by vendors. even some shops have encroached and blocked the footpath. it is very inconvenient and risky for pedestrians.",11,13,3,247,15,58,"","29-01-2015 22:49","As soon as you get onto Panathur main road, from outer road, the...","Panathur Main Road, Kadubeesanahalli, Panathur, Bengaluru, Karnataka 560103, India"
W045018198,"I m sorry to say that there is no water in our area",1,86,3,241,NULL,67,"","7/2/15 16:09","No water supply","Kalpana Square, Laxmi Sagar, Bhubaneshwar, Odisha, India"
W027018202,"I M VERY SORRY",1,89,3,215,NULL,77,"","7/2/15 17:24",BITTING,"21p, 5, Vip Road, Vip Road, Bhubaneshwar, Odisha 751001, India"
W061018390,"PLZ check our city lite which are in breaking condition",3,78,3,266,NULL,62,"","10/2/15 15:00","NO STREET LIGHT AT ALL","Kapila Prasad, Bhimatangi Housing Colony, Bhubaneshwar, Odisha, India"
W025019751,Garbage,1,11,3,209,NULL,155,"","11/3/15 7:24","Garbage every where","Block N4, IRC Village, Nayapalli, Bhubaneshwar, Odisha 751015, India"
W015021127,"There is a constant overflow of sewerage in front of Plot N-1; 172 & N-1;    A-69. As there is no drain either side of the road the filthy water flows on the road causing health hazard to all neighbors & particularly the tiny children who attend the play school located by the side of N1;-172 plot and the senior citizens of the locality. The repeated attempts to clear the chock- age is purely temporary & gives a relief for a week maximum. I request to put your best efforts to have a permanent solution. The main pipe laid is also of under size.",1,9,3,256,NULL,47,"","20-04-2015 13:48","Over flowing of sewerage constantly near manhole","IRC Village, Nayapalli, Bhubaneshwar, Odisha, India"
W01500C42583,"The Service Road infront of Ecospace is used by Lakhs of Vehicles every day

These  tech park contribute Crores of Tax.

The Service Road is too Narrow to accommodate all these vehicles.

1. This service Road Should be Widened.

2. Because this Narrow Road is so Heavily Used it is full of Potholes and needs urgent Repair.

It Takes 2 Hrs Just to get out of the tech park due to the above two reasons causing Traffic Jams

Now Instead of widening the road its being narrowed as BBMP is ""beautifying""  the outer ring road by covering footpaths with cement blocks

This is like applying lipstick to a dead body

When will they widen the road by moving the transformer",11,17,3,247,15,66,"","11/11/15 0:24","Ecospace Service Road","1A, Outer Ring Rd, Adarsh Palm Retreat, Bellandur, Bengaluru, Karnataka 560103, India"
W0150C131204,"The \""NEVER ENDING PROJECT \"" of ACT Fibernet cable laying and other CIVIL works are badly affected the Residents of Nallurahalli.\n\nThe Traffic is diverted via Sadguru sevashrama road, where in that too with the conjusted roads and leading to jams. ashrama road residents are now scared to allow their children to play in front of their rerspective homes, please BBMP officials try to finish off the road work ASAP.",1,3,3,256,NULL,84,"","4/3/16 11:36","Never ending project of ACT Fibernet","Unnamed Road, Rail Vihar, Chandrasekharpur, Bhubaneswar, Odisha 751021, India"
W0370C154196,"Public Road has become Dump Yard. Garbage Piling up, need quick action. Even residents are to be blamed ! Sad state of affairs !",1,0,3,231,NULL,155,"","7/6/16 17:13","Uncleared Garbage / Unauthorized Garbage Yard","Kalinga Stadium Gallery, Nuasahi, Nayapalli, Bhubaneswar, Odisha 751012, India"
W0250C154202,"Despite ban on plastic, vendors in Nayapalli  are rampantly using plastic bags, bowls and cups. Customers don\'t get cloth bags as they get plastic carry bags from vegetable and other vendors, and vendors blame the availability of plastic for continuing to use plastic.I have done my best in explaining to the vendors on the disadvantages of using plastic, but they are not aware. And municipality officers are taking their own sweet time to inspect the plastic problem in this ward and it is like no one is interested to curb the curse of plastic in the bigger problem of garbage in the city.",1,1,3,209,NULL,155,"","7/6/16 17:28","Use of Plastic","1474, NH16, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015, India"
W050C154210,"The road turning left from Chakeisiani road towards Mancheswar railway station becomes narrow and only one 4 wheeler can pass there. The nearby trees have left necessary setbacks, but the road is still waiting to be widened.",1,3,3,251,NULL,61,"","7/6/16 17:39","Widen road near Chakeisiani Palasuni","Kalinga Vision College Road, Palasuni, Rasulgarh, Bhubaneswar, Odisha 751010, India"
W050C154846,"As we have a problem with the street dogs makes lot of problem, kids are fear about the street dogs while going to school and outside. Every time at night makes the loud voice (Crying) so please solve the problem and catch the dogs as soon as possible",1,0,3,251,NULL,77,"","9/6/16 16:43","Street dogs at Palasuni","Kalinga Vision College Road, Palasuni, Rasulgarh, Bhubaneswar, Odisha 751010, India"
W01450C171780,"Wilson Garden roads adjacent to Hosur road on 8th cross, 7th cross, 6th cross and side road adjacent to Hosur road of 9th cross are illegally blocked by residents of those roads to block the entry of vehicles which is making all vehicles to enter to 9th cross road, which is causing lot of incovenience to only this particular road residents and even changes of accidents.  

IF all the above roads are opened up , then the traffic also gets distributed and allows flow of traffic",19,2,3,232,15,67,"","11/8/16 16:28","Roads blocked with Stone boulders","Hosur Main Road, Wilson Garden, Bengaluru, Karnataka 560027, India"
W0140C173777,"Some people have disposed off the garbage in an open plot behind our house...and d pungent smell coming out of it is making it difficult for us to open windows or doors and it\'s pathetic when we venture out of our house. Can you please look into this and make arrangements for cleaning as it\'s becoming a grave issue.\nThanks",1,0,3,269,NULL,155,"","20-08-2016 22:25","Garbage disposal in an open plot and pungent smell because of the garbage","S-5/432, Niladri Vihar Rd, Niladri Vihar, Chandrasekharpur, Bhubaneswar, Odisha 751021, India"
