generic_id,created_at,complaint_status_id,voteup_count,city_id,ward_id,category_id,sub_category_id,civic_agency_id,title,description,location
W017440C294908,"Too much garbage near chippi tank",9,3,9,1744,6,155,29,"16-11-2017 17:15","Too much garbage near chippi tank","F,16-17, Chippi Tank Rd, Begambagh, Meerut, Uttar Pradesh 250001, India"
W017440C297836,"Lot of garbage",9,3,9,1744,6,155,29,"1/12/17 11:46","Lot of garbage","F,16-17, Chippi Tank Rd, Begambagh, Meerut, Uttar Pradesh 250001, India"
W017390C297895,"Complaint description",3,6,9,1739,21,84,34,"1/12/17 16:52","Give title to complaint","Mohan Puri Rd, Subhash Nagar, Police Lines, Meerut, Uttar Pradesh 250003, India"
W017440C298530,"Garbage not cleaned",9,1,9,1744,6,155,29,"4/12/17 17:22",Garbage,"F,16-17, Chippi Tank Rd, Begambagh, Meerut, Uttar Pradesh 250001, India"
W017400C298586,"Garbage issue",9,1,9,1740,6,155,29,"4/12/17 18:52","Garbage issue","Meerut, Uttar Pradesh, India"
W017400C298591,"Garbage issue",9,1,9,1740,6,155,29,"4/12/17 18:54","Garbage issue","Meerut, Uttar Pradesh, India"
W017160C298669,"Lot of garbage",9,2,9,1716,6,155,29,"5/12/17 7:47","Lot of garbage","Bijli Bamba Bypass Rd, Surya Palace Colony, Meerut, Uttar Pradesh 250002, India"
W017160C298670,"There is a lot of garbage",9,1,9,1716,6,155,29,"5/12/17 7:48","There is a lot of garbage","Bijli Bamba Bypass Rd, Surya Palace Colony, Meerut, Uttar Pradesh 250002, India"
W017160C298674,"Please help clean the garbage. Too much litter.",9,1,9,1716,6,155,29,"5/12/17 8:03","Lots of garbage on the road","Bijli Bamba Bypass Rd, Surya Palace Colony, Meerut, Uttar Pradesh 250002, India"
W017240C298716,"Lots of garbage on the road",3,0,9,1724,6,155,29,"5/12/17 9:46","Lots of garbage on the road","Mangal Pandey Nagar Rd, Mangal Pandey Nagar, Ramgarhi, Meerut, Uttar Pradesh 250004, India"
W017240C298749,"Anil meerut sumit",9,1,9,1724,6,155,29,"5/12/17 11:03","Anil meerut sumit","A35, Garh Rd, Mangal Pandey Nagar, Ramgarhi, Meerut, Uttar Pradesh 250003, India"
W017240C298766,"Led street light always on 24x7....this is just wasting energy and detoriating product life. Location is gali 7 Thapar nagar Meerut.",3,3,9,1724,470,62,29,"5/12/17 12:14","Led street light always on 24x7....this is just wasting energy an...",Location
W017840C298810,"Sardhana road, kanker khera",9,2,9,1784,470,165,29,"5/12/17 15:34","Sardhana road, kanker khera","167, Ram Nagar Street No-3, Arya Nagar, Meerut, Uttar Pradesh 250001, India"
W017440C298812,"Respected Team
Myself is Rajiv. In front of my house led light has been installed but in night it doesn't start.Only one day it started but not after that. Kindly look into the matter and do the needful.",9,1,9,1744,470,165,29,"5/12/17 15:41","Respected Team
Myself is Rajiv. In front of my house led light ha...","Pl Sharma Rd, Begambagh, Meerut, Uttar Pradesh 250001, India"
W017840C298818,"सिटी रेलवे स्टेशन से शहर में आने वाली सड़क की हालत बेहद खराब है। सड़क में गड्ढे हैं।दोनों तरफ झाड़-झंखाड़ है और स्ट्रीट लाइट भी नहीं है।",9,3,9,1784,15,67,29,"5/12/17 16:16","सिटी रेलवे स्टेशन से शहर में आने वाली सड़क की हालत बेहद खराब है।...","A-1, Janakpuri, Meerut, Uttar Pradesh 250004, India"
W017240C298829,"Street light aadhi kharab hai damodar colony ki,",9,2,9,1724,470,165,29,"5/12/17 16:56","Street light aadhi kharab hai damodar colony ki,","A35, Garh Rd, Mangal Pandey Nagar, Ramgarhi, Meerut, Uttar Pradesh 250003, India"
W017310C298864,"Water pipe line in Meenakshi puram, meerut has broken at many places. water is unnecessary flowing damaging roads and water wastage as well. kindly get them repaired immediately. this software does not catch correct address location.",9,3,9,1731,23,182,29,"5/12/17 20:23","Water pipe line in Meenakshi puram, meerut has broken at many pla...","E-10, Defence Colony, Meerut, Uttar Pradesh 250004, India"
W017310C298867,"This software does not locate correct address of the complainant. I m in E 61 Meenakshi puram Meerut while it says E 10 Defence Colony meerut.",4,1,9,1731,9,42,NULL,"5/12/17 20:36","This software does not locate correct address of the complainant....","E-10, Defence Colony, Meerut, Uttar Pradesh 250004, India"
W017840C298872,"Sadak ganga raam ki chakki ke samne naale ke barabar mai mitti ki sadak bani whi h",9,1,9,1784,15,67,29,"5/12/17 21:29","Sadak ganga raam ki chakki ke samne naale ke barabar mai mitti ki...","A-211, Mawana Rd, Azad Nagar, Meenakshipuram, Meerut, Uttar Pradesh 250001, India"
W017390C298883,"There are heaps of garbage along the pathway of Nehru road, near Kutchery. No maintenance at all",9,3,9,1739,6,155,29,"5/12/17 23:31","There are heaps of garbage along the pathway of Nehru road, near...","45/1, Nehru Rd, Vijay Nagar, Mohanpuri, Meerut, Uttar Pradesh 250003, India"
W017390C298884,"Every road  has been repaired but Nehru road which connects mohanpuri to pl sharma road has never been cared off. Very bad road.",9,1,9,1739,15,67,29,"5/12/17 23:34","Every road  has been repaired but Nehru road which connects mohan...","45/1, Nehru Rd, Vijay Nagar, Mohanpuri, Meerut, Uttar Pradesh 250003, India"
W017840C298900,"यह स्ट्रीट लाइट बिना रोशनी दिये ही इस प्रकार जल रही है कि ना इसे खराब कह सकते है और ना ही इसकी रोशनी का लाभ ले सकते हैं",9,4,9,1784,470,165,29,"6/12/17 6:30","यह स्ट्रीट लाइट बिना रोशनी दिये ही इस प्रकार जल रही है कि ना इसे...","Main Market Road, Kaserukhera, Meerut, Uttar Pradesh 250001, India"
W017840C298902,"Street light poll number is provide in the picture",9,1,9,1784,470,165,29,"6/12/17 6:36","Street light poll number is provide in the picture","Main Market Road, Kaserukhera, Meerut, Uttar Pradesh 250001, India"
W017370C298903,"This app is not showing my correct address",9,1,9,1737,9,42,NULL,"6/12/17 6:58","This app is not showing my correct address","D-103, Saket, Meerut, Uttar Pradesh 250003, India"
W017840C298906,"सड़क किनारे बने नालों पर अतिक्रमण को हटाया जाना चाहिए यह समस्या आम है",3,4,9,1784,15,67,29,"6/12/17 7:22","सड़क किनारे बने नालों पर अतिक्रमण को हटाया जाना चाहिए यह समस्या आ...","Unnamed Road, Nai Basti, Fazalpur, Meerut, Uttar Pradesh 250001, India"
W017130C298907,"गली नम्बर १ जवाहर नगर रोहटा रोड पर क़रीब १ महीने से पानी ऐसे से ही बह रहा ह मदद कीजिए",3,3,9,1713,23,182,29,"6/12/17 7:26","गली नम्बर १ जवाहर नगर रोहटा रोड पर क़रीब १ महीने से पानी ऐसे से ह...","Gali Number 1, Jawahar Nagar, Fazalpur, Meerut, Uttar Pradesh 250001, India"
W017240C298915,"Man hole is open at the gate of allahbad bank unoversity for the last several months.senior citizens go fororning walk .there is every likely hood of falling in the main hole",3,2,9,1724,15,66,29,"6/12/17 7:57","Man hole is open at the gate of allahbad bank unoversity for the...","A-36/22, Sector 3, Shastri Nagar, Meerut, Uttar Pradesh 250001, India"
W017160C298922,"गन्दगी का अम्बार शताब्दी नगर , ए-17",3,1,9,1716,15,66,29,"6/12/17 8:06","गन्दगी का अम्बार शताब्दी नगर , ए-17","A-18, Shatabdi Nagar, Sector 1, Rithani, Meerut, Uttar Pradesh 250103, India"
W017430C298938,"जय देवीनगर ट्रांसफॉर्मर के निकट 2 km तक का कूड़ा डाला जाता है खत्ता बना दिया है कोई स्ट्रीट लाइट भी नही है अंधेरे में कई दुघटनाये हो चुकी है
ऐसे तो नही बनेगा smart city
कृपया ध्यान दे",9,5,9,1743,6,155,29,"6/12/17 8:28","जय देवीनगर ट्रांसफॉर्मर के निकट 2 km तक का कूड़ा डाला जाता है खत्त...","38, Central Market Rd, Kalyan, Meerut, Uttar Pradesh 250002, India"
W017840C298943,"Lot off vasteg panning, gober and other market vasteg.",3,0,9,1784,6,155,29,"6/12/17 8:42","Lot off vasteg panning, gober and other market vasteg.",Location
W017840C298944,"Lots of garbage right in front of house no61,prem prayag colony,garh road Meerut,a prime and posh residential area,no nagar nigam official take charge or interested in cleaning of garbage despite of multiple complains.",3,0,9,1784,6,155,29,"6/12/17 8:45","Lots of garbage right in front of house no61,prem prayag colony,g...","A-24, Moti Prayag, Janakpuri, Meerut, Uttar Pradesh 250004, India"
